 

stn;time;fhh010mx
DAV;201203;7.2
DAV;201204;6.7
DAV;201205;8.6
DAV;201206;8.6
DAV;201207;9.2
DAV;201208;7.6
DAV;201209;10.2
DAV;201210;7.1
DAV;201211;6.4
DAV;201212;8.5
DAV;201301;9.7
DAV;201302;6.6
DAV;201303;7.7
DAV;201304;7.4
DAV;201305;8.0
DAV;201306;8.8
DAV;201307;7.7
DAV;201308;8.3
DAV;201309;9.6
DAV;201310;9.1
DAV;201311;8.3
DAV;201312;8.3
DAV;201401;7.3
DAV;201402;8.4
DAV;201403;6.9
DAV;201404;8.2
DAV;201405;9.6
DAV;201406;7.6
DAV;201407;7.1
DAV;201408;7.0
DAV;201409;6.9
DAV;201410;10.6
DAV;201411;8.2
DAV;201412;6.4
DAV;201501;9.1
DAV;201502;8.2
DAV;201503;8.4
DAV;201504;8.0
DAV;201505;6.8
DAV;201506;6.6
DAV;201507;9.5
DAV;201508;7.3
DAV;201509;10.5
DAV;201510;7.2
DAV;201511;7.5
DAV;201512;8.4
DAV;201601;6.1
DAV;201602;9.0
DAV;201603;9.4
DAV;201604;7.8
DAV;201605;7.0
DAV;201606;7.2
DAV;201607;7.5
DAV;201608;7.4
DAV;201609;6.5
DAV;201610;8.5
DAV;201611;8.5
DAV;201612;6.0
DAV;201701;8.4
DAV;201702;7.4
DAV;201703;7.8
DAV;201704;8.0
DAV;201705;8.6
DAV;201706;7.4
DAV;201707;8.3
DAV;201708;8.3
DAV;201709;11.0
DAV;201710;8.6
DAV;201711;12.7
DAV;201712;9.6
DAV;201801;10.2
DAV;201802;7.0
DAV;201803;8.0
DAV;201804;7.4
DAV;201805;6.8
DAV;201806;7.2
DAV;201807;-
DAV;201808;7.9
DAV;201809;9.1
DAV;201810;7.5
DAV;201811;6.8
DAV;201812;9.9
DAV;201901;9.1
DAV;201902;8.3
DAV;201903;10.7
DAV;201904;9.0
DAV;201905;8.6
DAV;201906;8.6
DAV;201907;7.5
DAV;201908;8.1
DAV;201909;8.2
DAV;201910;8.3
DAV;201911;6.5
DAV;201912;9.1
DAV;202001;7.2
DAV;202002;11.3
DAV;202003;9.1
DAV;202004;8.8
DAV;202005;11.0
DAV;202006;8.4
DAV;202007;10.4
DAV;202008;9.6
DAV;202009;9.4
DAV;202010;9.4
DAV;202011;10.2
DAV;202012;8.8
DAV;202101;-
DAV;202102;7.3
DAV;202103;8.9
DAV;202104;7.5
DAV;202105;9.3
DAV;202106;7.8
DAV;202107;9.7
DAV;202108;9.0
DAV;202109;8.2
DAV;202110;8.3
DAV;202111;8.0
DAV;202112;9.3
DAV;202201;9.3
DAV;202202;11.8
DAV;202203;6.5
DAV;202204;9.5
DAV;202205;8.4
DAV;202206;8.7
DAV;202207;7.7
DAV;202208;7.1
DAV;202209;6.7
DAV;202210;6.2
DAV;202211;7.2
DAV;202212;7.4
DAV;202301;7.6

stn;time;fhh010mx
GVE;200402;9.8
GVE;200403;10.8
GVE;200404;10.0
GVE;200405;10.1
GVE;200406;9.0
GVE;200407;8.0
GVE;200408;8.6
GVE;200409;9.0
GVE;200410;8.2
GVE;200411;14.7
GVE;200412;9.7
GVE;200501;14.9
GVE;200502;11.7
GVE;200503;8.0
GVE;200504;13.9
GVE;200505;8.5
GVE;200506;11.5
GVE;200507;9.7
GVE;200508;8.5
GVE;200509;11.2
GVE;200510;6.8
GVE;200511;14.7
GVE;200512;9.9
GVE;200601;9.4
GVE;200602;9.6
GVE;200603;11.3
GVE;200604;7.6
GVE;200605;10.6
GVE;200606;10.6
GVE;200607;7.1
GVE;200608;7.2
GVE;200609;7.5
GVE;200610;10.8
GVE;200611;8.8
GVE;200612;9.8
GVE;200701;9.0
GVE;200702;11.0
GVE;200703;10.8
GVE;200704;12.0
GVE;200705;8.3
GVE;200706;7.9
GVE;200707;7.2
GVE;200708;7.4
GVE;200709;9.0
GVE;200710;13.4
GVE;200711;13.6
GVE;200712;10.2
GVE;200801;10.0
GVE;200802;9.4
GVE;200803;12.7
GVE;200804;7.5
GVE;200805;8.8
GVE;200806;7.1
GVE;200807;7.8
GVE;200808;7.0
GVE;200809;10.2
GVE;200810;8.2
GVE;200811;9.1
GVE;200812;12.0
GVE;200901;10.6
GVE;200902;12.8
GVE;200903;11.6
GVE;200904;8.6
GVE;200905;10.8
GVE;200906;-
GVE;200907;7.7
GVE;200908;11.0
GVE;200909;10.0
GVE;200910;9.5
GVE;200911;8.2
GVE;200912;8.6
GVE;201001;11.7
GVE;201002;11.1
GVE;201003;13.3
GVE;201004;11.1
GVE;201005;11.7
GVE;201006;9.8
GVE;201007;8.8
GVE;201008;9.0
GVE;201009;9.1
GVE;201010;13.0
GVE;201011;9.9
GVE;201012;11.7
GVE;201101;13.5
GVE;201102;8.1
GVE;201103;8.9
GVE;201104;8.3
GVE;201105;8.4
GVE;201106;10.9
GVE;201107;8.6
GVE;201108;9.0
GVE;201109;8.9
GVE;201110;9.1
GVE;201111;4.9
GVE;201112;13.4
GVE;201201;9.6
GVE;201202;14.6
GVE;201203;11.9
GVE;201204;11.3
GVE;201205;9.2
GVE;201206;7.9
GVE;201207;10.2
GVE;201208;7.5
GVE;201209;9.1
GVE;201210;11.5
GVE;201211;11.4
GVE;201212;8.8
GVE;201301;7.6
GVE;201302;8.7
